기간,운송용조종사(명),사업용조종사(명),자가용조종사(명),교통관제사(명),운항관리사(명),항공기관사(명),항공정비사(명),경량항공기조종사(명),계(명)
~1999,3551,4392,542,845,381,399,6331,,16441
2000,291,267,24,85,12,,241,,920
2001,291,449,20,85,28,,371,,1244
2002,175,408,46,59,34,,438,,1160
2003,49,424,49,57,31,7,370,,987
2004,37,381,32,95,24,,502,,1071
2005,77,371,257,148,33,,443,,1329
2006,310,445,340,105,28,1,362,,1591
2007,342,438,355,108,46,,470,,1759
2008,317,375,386,86,73,,601,,1838
2009,240,408,258,63,84,3,611,267,1934
2010,261,307,364,46,58,1,516,210,1763
2011,264,379,380,89,59,,388,141,1700
2012,361,598,391,73,86,,497,94,2100
2013,270,785,431,79,63,,615,148,2391
2014,306,869,492,87,62,,709,105,2630
2015,374,1016,601,81,70,,828,65,3035
2016,437,1228,581,101,89,,945,81,3462
2017,404,1462,573,139,85,,1290,72,4025
2018,390,1558,550,83,87,,1142,60,3870
2019,523,1726,536,99,120,,1267,71,4342
2020,353,1047,501,98,93,,1258,77,3427
